Week,Date,Demand
1,01/01/2001,98.42
2,08/01/2001,122.81
3,15/01/2001,100.69
4,22/01/2001,100.54
5,29/01/2001,114.69
6,05/02/2001,105.05
7,12/02/2001,102.32
8,19/02/2001,118.37
9,26/02/2001,112.79
10,05/03/2001,115.21
11,12/03/2001,103.94
12,19/03/2001,115.53
13,26/03/2001,116.89
14,02/04/2001,124.53
15,09/04/2001,107.66
16,16/04/2001,132.03
17,23/04/2001,112.48
18,30/04/2001,116.14
19,07/05/2001,103.01
20,14/05/2001,103.26
21,21/05/2001,126.22
22,28/05/2001,102.15
23,04/06/2001,109.27
24,11/06/2001,109.33
25,18/06/2001,104.39
26,25/06/2001,106.67
27,02/07/2001,96.62
28,09/07/2001,98.37
29,16/07/2001,91.23
30,23/07/2001,111.29
31,30/07/2001,95.7
32,06/08/2001,95.13
33,13/08/2001,90.74
34,20/08/2001,99.03
35,27/08/2001,101.36
36,03/09/2001,84.3
37,10/09/2001,90.11
38,17/09/2001,80.65
39,24/09/2001,94.29
40,01/10/2001,96.89
41,08/10/2001,88.73
42,15/10/2001,81.23
43,22/10/2001,92.09
44,29/10/2001,85.64
45,05/11/2001,77.95
46,12/11/2001,88.9
47,19/11/2001,87.37
48,26/11/2001,97.62
49,03/12/2001,99.25
50,10/12/2001,103.96
51,17/12/2001,109.16
52,24/12/2001,107.58
53,31/12/2001,98.06
54,07/01/2002,94.64
55,14/01/2002,103.47
56,21/01/2002,108.95
57,28/01/2002,133.03
58,04/02/2002,107.01
59,11/02/2002,116.26
60,18/02/2002,122.39
61,25/02/2002,115.91
62,04/03/2002,118.55
63,11/03/2002,111.68
64,18/03/2002,116.19
65,25/03/2002,115.2
66,01/04/2002,120.15
67,08/04/2002,126.83
68,15/04/2002,128.64
69,22/04/2002,119.87
70,29/04/2002,114.41
71,06/05/2002,124.06
72,13/05/2002,141.85
73,20/05/2002,127.03
74,27/05/2002,113.31
75,03/06/2002,120.53
76,10/06/2002,110.53
77,17/06/2002,110.58
78,24/06/2002,106.28
79,01/07/2002,98.59
80,08/07/2002,99.11
81,15/07/2002,95.27
82,22/07/2002,105.19
83,29/07/2002,104.3
84,05/08/2002,104.38
85,12/08/2002,105.67
86,19/08/2002,106.48
87,26/08/2002,87.95
88,02/09/2002,100.18
89,09/09/2002,101
90,16/09/2002,81.6
91,23/09/2002,91.43
92,30/09/2002,95.58
93,07/10/2002,74.26
94,14/10/2002,82.74
95,21/10/2002,83.92
96,28/10/2002,92
97,04/11/2002,83.04
98,11/11/2002,79.01
99,18/11/2002,119.02
100,25/11/2002,105.41
101,02/12/2002,106.47
102,09/12/2002,109.97
103,16/12/2002,112.69
104,23/12/2002,108.71
105,30/12/2002,101.46
106,06/01/2003,112.63
107,13/01/2003,103.44
108,20/01/2003,123.14
109,27/01/2003,128.8
110,03/02/2003,121.06
111,10/02/2003,107.8
112,17/02/2003,121.75
113,24/02/2003,132.21
114,03/03/2003,119.39
115,10/03/2003,125.25
116,17/03/2003,111.8
117,24/03/2003,128.05
118,31/03/2003,129.11
119,07/04/2003,128.14
120,14/04/2003,132.18
121,21/04/2003,133.12
122,28/04/2003,114.98
123,05/05/2003,122.24
124,12/05/2003,109.46
125,19/05/2003,133.3
126,26/05/2003,117.09
127,02/06/2003,114.42
128,09/06/2003,111.95
129,16/06/2003,101.73
130,23/06/2003,125.57
131,30/06/2003,111.49
132,07/07/2003,109.8
133,14/07/2003,107.8
134,21/07/2003,120.51
135,28/07/2003,113.64
136,04/08/2003,103.86
137,11/08/2003,95.41
138,18/08/2003,99.88
139,25/08/2003,86.64
140,01/09/2003,95.6
141,08/09/2003,97.62
142,15/09/2003,94.33
143,22/09/2003,96.93
144,29/09/2003,108.05
145,06/10/2003,95.17
146,13/10/2003,99.19
147,20/10/2003,102.12
148,27/10/2003,104.62
149,03/11/2003,107.82
150,10/11/2003,108.1
151,17/11/2003,102.98
152,24/11/2003,102.71
153,01/12/2003,100.42
154,08/12/2003,120.03
155,15/12/2003,111.7
156,22/12/2003,113.88
157,29/12/2003,116.83
158,05/01/2004,113.86
159,12/01/2004,104.21
160,19/01/2004,135.2
161,26/01/2004,123.05
162,02/02/2004,129.66
163,09/02/2004,129.51
164,16/02/2004,135.66
165,23/02/2004,131.9
166,01/03/2004,135.8
167,08/03/2004,132.28
168,15/03/2004,136.36
169,22/03/2004,138.15
170,29/03/2004,132.3
171,05/04/2004,125.07
172,12/04/2004,123.89
173,19/04/2004,137.92
174,26/04/2004,136.84
175,03/05/2004,140.85
176,10/05/2004,134.03
177,17/05/2004,117.03
178,24/05/2004,130.85
179,31/05/2004,119.56
180,07/06/2004,130.7
181,14/06/2004,118.47
182,21/06/2004,132.87
183,28/06/2004,119.02
184,05/07/2004,104.51
185,12/07/2004,111.28
186,19/07/2004,116.9
187,26/07/2004,115.66
188,02/08/2004,119.09
189,09/08/2004,110.25
190,16/08/2004,98.35
191,23/08/2004,105.14
192,30/08/2004,102.27
193,06/09/2004,101.1
194,13/09/2004,101.56
195,20/09/2004,99.52
196,27/09/2004,103.78
197,04/10/2004,120.26
198,11/10/2004,110.58
199,18/10/2004,103.08
200,25/10/2004,115.75
201,01/11/2004,120.05
202,08/11/2004,123.59
203,15/11/2004,110.93
204,22/11/2004,113.06
